#node time(s) x y
0 0.0 210.0 100.0
1 0.0 300.0 100.0
2 0.0 190.0 170.0
3 0.0 220.0 230.0
4 0.0 300.0 230.0
5 0.0 350.00 -40.00
5 80.1 350.00 -39.73
5 80.1 350.00 -39.45
5 80.2 350.00 -39.18
5 80.3 350.00 -38.90
5 80.3 350.00 -38.63
5 80.4 350.00 -38.35
5 80.5 350.00 -38.08
5 80.5 350.00 -37.80
5 80.6 350.00 -37.53
5 80.7 350.00 -37.25
5 80.7 350.00 -36.98
5 80.8 350.00 -36.70
5 80.9 350.00 -36.43
5 80.9 350.00 -36.15
5 81.0 350.00 -35.88
5 81.1 350.00 -35.60
5 81.1 350.00 -35.33
5 81.2 350.00 -35.05
5 81.3 350.00 -34.78
5 81.3 350.00 -34.50
5 81.4 350.00 -34.23
5 81.5 350.00 -33.95
5 81.5 350.00 -33.68
5 81.6 350.00 -33.40
5 81.7 350.00 -33.13
5 81.7 350.00 -32.85
5 81.8 350.00 -32.58
5 81.8 350.00 -32.30
5 81.9 350.00 -32.03
5 82.0 350.00 -31.75
5 82.0 350.00 -31.48
5 82.1 350.00 -31.20
5 82.2 350.00 -30.93
5 82.2 350.00 -30.65
5 82.3 350.00 -30.38
5 82.4 350.00 -30.10
5 82.4 350.00 -29.83
5 82.5 350.00 -29.55
5 82.6 350.00 -29.28
5 82.6 350.00 -29.00
5 82.7 350.00 -28.73
5 82.8 350.00 -28.45
5 82.8 350.00 -28.18
5 82.9 350.00 -27.90
5 83.0 350.00 -27.63
5 83.0 350.00 -27.35
5 83.1 350.00 -27.08
5 83.2 350.00 -26.80
5 83.2 350.00 -26.53
5 83.3 350.00 -26.25
5 83.4 350.00 -25.98
5 83.4 350.00 -25.70
5 83.5 350.00 -25.43
5 83.6 350.00 -25.15
5 83.6 350.00 -24.88
5 83.7 350.00 -24.60
5 83.8 350.00 -24.33
5 83.8 350.00 -24.05
5 83.9 350.00 -23.78
5 84.0 350.00 -23.50
5 84.0 350.00 -23.23
5 84.1 350.00 -22.95
5 84.2 350.00 -22.68
5 84.2 350.00 -22.40
5 84.3 350.00 -22.13
5 84.4 350.00 -21.85
5 84.4 350.00 -21.58
5 84.5 350.00 -21.30
5 84.6 350.00 -21.03
5 84.6 350.00 -20.75
5 84.7 350.00 -20.48
5 84.8 350.00 -20.20
5 84.8 350.00 -19.93
5 84.9 350.00 -19.65
5 85.0 350.00 -19.38
5 85.0 350.00 -19.10
5 85.1 350.00 -18.83
5 85.1 350.00 -18.55
5 85.2 350.00 -18.28
5 85.3 350.00 -18.00
5 85.3 350.00 -17.73
5 85.4 350.00 -17.45
5 85.5 350.00 -17.18
5 85.5 350.00 -16.90
5 85.6 350.00 -16.63
5 85.7 350.00 -16.35
5 85.7 350.00 -16.08
5 85.8 350.00 -15.80
5 85.9 350.00 -15.53
5 85.9 350.00 -15.25
5 86.0 350.00 -14.98
5 86.1 350.00 -14.70
5 86.1 350.00 -14.43
5 86.2 350.00 -14.15
5 86.3 350.00 -13.88
5 86.3 350.00 -13.60
5 86.4 350.00 -13.33
5 86.5 350.00 -13.05
5 86.5 350.00 -12.78
5 86.6 350.00 -12.50
5 86.7 350.00 -12.23
5 86.7 350.00 -11.95
5 86.8 350.00 -11.68
5 86.9 350.00 -11.40
5 86.9 350.00 -11.13
5 87.0 350.00 -10.85
5 87.1 350.00 -10.58
5 87.1 350.00 -10.30
5 87.2 350.00 -10.03
5 87.3 350.00 -9.75
5 87.3 350.00 -9.48
5 87.4 350.00 -9.20
5 87.5 350.00 -8.93
5 87.5 350.00 -8.65
5 87.6 350.00 -8.38
5 87.7 350.00 -8.10
5 87.7 350.00 -7.83
5 87.8 350.00 -7.55
5 87.9 350.00 -7.28
5 87.9 350.00 -7.00
5 88.0 350.00 -6.73
5 88.1 350.00 -6.45
5 88.1 350.00 -6.18
5 88.2 350.00 -5.90
5 88.3 350.00 -5.63
5 88.3 350.00 -5.35
5 88.4 350.00 -5.08
5 88.4 350.00 -4.80
5 88.5 350.00 -4.53
