#node time(s) x y
1 0.0 0.0 0.0
0 0.0 300.00 0.00
0 60.1 300.00 0.28
0 60.2 300.00 0.55
0 60.3 300.00 0.83
0 60.4 300.00 1.10
0 60.5 300.00 1.38
0 60.6 300.00 1.65
0 60.7 300.00 1.92
0 60.8 300.00 2.20
0 60.9 300.00 2.47
0 61.0 300.00 2.75
0 61.1 300.00 3.02
0 61.2 300.00 3.30
0 61.3 300.00 3.57
0 61.4 300.00 3.85
0 61.5 300.00 4.12
0 61.6 300.00 4.40
0 61.7 300.00 4.67
0 61.8 300.00 4.95
0 61.9 300.00 5.23
0 62.0 300.00 5.50
0 62.1 300.00 5.78
0 62.2 300.00 6.05
0 62.3 300.00 6.33
0 62.4 300.00 6.60
0 62.5 300.00 6.88
0 62.6 300.00 7.15
0 62.7 300.00 7.43
0 62.8 300.00 7.70
0 62.9 300.00 7.98
0 63.0 300.00 8.25
0 63.1 300.00 8.53
0 63.2 300.00 8.80
0 63.3 300.00 9.08
0 63.4 300.00 9.35
0 63.5 300.00 9.63
0 63.6 300.00 9.90
0 63.7 300.00 10.18
0 63.8 300.00 10.45
0 63.9 300.00 10.73
0 64.0 300.00 11.00
0 64.1 300.00 11.28
0 64.2 300.00 11.55
0 64.3 300.00 11.83
0 64.4 300.00 12.10
0 64.5 300.00 12.38
0 64.6 300.00 12.65
0 64.7 300.00 12.93
0 64.8 300.00 13.20
0 64.9 300.00 13.48
0 65.0 300.00 13.75
0 65.1 300.00 14.03
0 65.2 300.00 14.30
0 65.3 300.00 14.58
0 65.4 300.00 14.85
0 65.5 300.00 15.13
0 65.6 300.00 15.40
0 65.7 300.00 15.68
0 65.8 300.00 15.95
0 65.9 300.00 16.23
0 66.0 300.00 16.50
0 66.1 300.00 16.78
0 66.2 300.00 17.05
0 66.3 300.00 17.33
0 66.4 300.00 17.60
0 66.5 300.00 17.88
0 66.6 300.00 18.15
0 66.7 300.00 18.43
0 66.8 300.00 18.70
0 66.9 300.00 18.97
0 67.0 300.00 19.25
0 67.1 300.00 19.52
0 67.2 300.00 19.80
0 67.3 300.00 20.07
0 67.4 300.00 20.35
0 67.5 300.00 20.62
0 67.6 300.00 20.90
0 67.7 300.00 21.17
0 67.8 300.00 21.45
0 67.9 300.00 21.72
0 68.0 300.00 22.00
0 68.1 300.00 22.27
0 68.2 300.00 22.55
0 68.3 300.00 22.82
0 68.4 300.00 23.10
0 68.5 300.00 23.37
0 68.6 300.00 23.65
0 68.7 300.00 23.92
0 68.8 300.00 24.20
0 68.9 300.00 24.47
0 69.0 300.00 24.75
0 69.1 300.00 25.02
0 69.2 300.00 25.30
0 69.3 300.00 25.57
0 69.4 300.00 25.85
0 69.5 300.00 26.12
0 69.6 300.00 26.40
0 69.7 300.00 26.67
0 69.8 300.00 26.95
0 69.9 300.00 27.22
0 70.0 300.00 27.50
0 70.1 300.00 27.77
0 70.2 300.00 28.05
0 70.3 300.00 28.32
0 70.4 300.00 28.60
0 70.5 300.00 28.87
0 70.6 300.00 29.15
0 70.7 300.00 29.42
0 70.8 300.00 29.70
0 70.9 300.00 29.97
0 71.0 300.00 30.25
0 71.1 300.00 30.52
0 71.2 300.00 30.80
0 71.3 300.00 31.07
0 71.4 300.00 31.35
0 71.5 300.00 31.62
0 71.6 300.00 31.90
0 71.7 300.00 32.17
0 71.8 300.00 32.45
0 71.9 300.00 32.72
0 72.0 300.00 33.00
0 72.1 300.00 33.27
0 72.2 300.00 33.55
0 72.3 300.00 33.82
0 72.4 300.00 34.10
0 72.5 300.00 34.37
0 72.6 300.00 34.65
0 72.7 300.00 34.92
0 72.8 300.00 35.20
0 72.9 300.00 35.47
0 73.0 300.00 35.75
0 73.1 300.00 36.02
0 73.2 300.00 36.30
0 73.3 300.00 36.57
0 73.4 300.00 36.85
0 73.5 300.00 37.12
0 73.6 300.00 37.40
0 73.7 300.00 37.67
0 73.8 300.00 37.95
0 73.9 300.00 38.22
0 74.0 300.00 38.50
0 74.1 300.00 38.77
0 74.2 300.00 39.05
0 74.3 300.00 39.32
0 74.4 300.00 39.60
0 74.5 300.00 39.87
0 74.6 300.00 40.15
0 74.7 300.00 40.42
0 74.8 300.00 40.70
0 74.9 300.00 40.97
0 75.0 300.00 41.25
0 75.1 300.00 41.52
0 75.2 300.00 41.80
0 75.3 300.00 42.07
